id,species,scientific_name,observed_on,latitude,longitude,user,quality_grade,url
260130815,Hill Mynas,Gracula,2025-01-01,26.9726722222,88.4165944444,sikkim_naturalist,needs_id,https://www.inaturalist.org/observations/260130815
260130798,Rufous-necked Hornbill,Aceros nipalensis,2025-01-02,27.1736652634,88.4371470037,sikkim_naturalist,research,https://www.inaturalist.org/observations/260130798
260130783,Red-headed Trogon,Harpactes erythrocephalus,2025-01-02,26.9307083333,88.4142916667,sikkim_naturalist,research,https://www.inaturalist.org/observations/260130783
260130709,Greater Necklaced Laughingthrush,Pterorhinus pectoralis,2025-01-03,26.8339055556,88.3413138889,sikkim_naturalist,research,https://www.inaturalist.org/observations/260130709
260130699,Collared Falconet,Microhierax caerulescens,2025-01-03,26.8359638889,88.3378694444,sikkim_naturalist,research,https://www.inaturalist.org/observations/260130699
260130504,Plain Flowerpecker,Dicaeum minullum,2025-01-04,26.8328805556,88.3421305556,sikkim_naturalist,needs_id,https://www.inaturalist.org/observations/260130504
260130479,Himalayan Buzzard,Buteo refectus,2025-01-04,26.8330333333,88.3454805556,sikkim_naturalist,needs_id,https://www.inaturalist.org/observations/260130479
260057023,Black-crested Bulbul,Rubigula flaviventris,2025-01-30,26.8364042961,88.3423911408,asish05,research,https://www.inaturalist.org/observations/260057023
259940110,Mrs Gould's Sunbird,Aethopyga gouldiae,2025-01-21,26.9022849333,88.3972677961,aliya49705,needs_id,https://www.inaturalist.org/observations/259940110
259845779,Little Cormorant,Microcarbo niger,2025-01-24,26.7637771908,88.3803125471,asish05,research,https://www.inaturalist.org/observations/259845779
259845712,Asian Openbill,Anastomus oscitans,2025-01-28,26.7637771908,88.3803125471,asish05,research,https://www.inaturalist.org/observations/259845712
259339604,Red-naped Ibis,Pseudibis papillosa,2024-08-19,26.7441253183,88.3798196912,asish05,research,https://www.inaturalist.org/observations/259339604
259339443,Common Iora,Aegithina tiphia,2024-08-27,26.7637771908,88.3803125471,asish05,research,https://www.inaturalist.org/observations/259339443
259339294,Blue-throated Barbet,Psilopogon asiaticus,2025-01-08,26.7637771908,88.3803125471,asish05,research,https://www.inaturalist.org/observations/259339294
259339207,Asian Barred Owlet,Glaucidium cuculoides,2025-01-22,27.0507701229,88.308385089,asish05,research,https://www.inaturalist.org/observations/259339207
258969514,Long-tailed Shrike,Lanius schach,2024-09-22,26.7637771908,88.3803125471,asish05,research,https://www.inaturalist.org/observations/258969514
258969322,Pied Kingfisher,Ceryle rudis,2024-09-26,26.7637771908,88.3803125471,asish05,research,https://www.inaturalist.org/observations/258969322
258969163,Indian Grey Hornbill,Ocyceros birostris,2024-10-01,26.7637771908,88.3803125471,asish05,research,https://www.inaturalist.org/observations/258969163
258968649,Eurasian Collared-Dove,Streptopelia decaocto,2025-01-08,26.7637771908,88.3803125471,asish05,research,https://www.inaturalist.org/observations/258968649
258968381,Hair-crested Drongo,Dicrurus hottentottus,2025-01-14,26.8625867229,88.3595170453,asish05,research,https://www.inaturalist.org/observations/258968381
258884948,Chestnut-tailed Minla,Actinodura strigula,2024-12-08,27.05599338,88.2562375814,asish05,research,https://www.inaturalist.org/observations/258884948
258884613,Black-winged Kite,Elanus caeruleus,2024-09-23,26.832848346,88.3017151058,asish05,research,https://www.inaturalist.org/observations/258884613
258491872,Himalayan Bulbul,Pycnonotus leucogenys,2025-01-12,26.8449795822,88.3580951393,asish05,research,https://www.inaturalist.org/observations/258491872
258490056,Gray-capped Pygmy Woodpecker,Yungipicus canicapillus,2025-01-12,26.8596085708,88.3606573194,asish05,research,https://www.inaturalist.org/observations/258490056
